"object_id","object_class_id","class_confidence","associated_text","frame_id","bbox_x","bbox_y","bbox_width","bbox_height","bbox_cols","bbox_rows","loc_x","loc_y","loc_z","loc_confidence","colour","texture","region_id","size_id","shape_id","created","last_seen","last_updated","pcd_path","img_path","is_current"
1,57,"0.72440034",NULL,"map",270,285,88,193,640,480,"-0.43878815","-1.8091005","0.64769506","0.7466669",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:03:41.275201","2023-11-08 02:06:28.968073","2023-11-08 02:12:45.643711",NULL,NULL,1
2,64,"0.66625345",NULL,"map",130,257,90,65,640,480,"2.32799","-0.8447402","0.5678959","0.72000027",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:03:49.407352","2023-11-08 02:04:47.678589","2023-11-08 02:12:45.643711",NULL,NULL,1
3,57,"0.6832035",NULL,"map",341,268,35,29,640,480,"0.9981592","-2.0496607","0.7363471","0.72000027",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:04:40.023294","2023-11-08 02:05:53.964109","2023-11-08 02:12:45.643711",NULL,NULL,1
4,57,"0.90578216",NULL,"map",345,283,150,196,640,480,"-0.052175812","-2.1260064","0.54054534","0.7333336",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:04:42.621426","2023-11-08 02:06:23.454338","2023-11-08 02:12:45.643711",NULL,NULL,1
5,48,"0.67665285",NULL,"map",374,261,56,42,640,480,"-0.8800008","-1.9230313","0.9056397","0.72000027",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:04:47.680197","2023-11-08 02:04:50.956171","2023-11-08 02:12:45.643711",NULL,NULL,1
6,64,"0.92306423",NULL,"map",484,270,156,115,640,480,"-2.25066","-0.5623952","0.74398583","0.77833354",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:20.96723","2023-11-08 02:06:37.319191","2023-11-08 02:12:45.643711",NULL,NULL,1
7,57,"0.7376588",NULL,"map",348,285,129,193,640,480,"-2.957085","-1.3780142","0.64000624","0.8133335",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:34.519884","2023-11-08 02:08:16.201557","2023-11-08 02:12:45.643711",NULL,NULL,1
8,63,"0.6805507",NULL,"map",480,220,113,106,640,480,"-2.4840183","-0.3445779","0.85345614","0.96833336",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:37.320749","2023-11-08 02:06:37.320749","2023-11-08 02:12:45.643711",NULL,NULL,1
9,73,"0.79437584",NULL,"map",228,101,74,324,640,480,"-3.658353","-2.8273978","0.8372355","1",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:40.545853","2023-11-08 02:06:40.545853","2023-11-08 02:12:45.643711",NULL,NULL,1
10,73,"0.6695271",NULL,"map",171,163,61,204,640,480,"-4.7500377","-3.8638663","0.74741864","1",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:40.549167","2023-11-08 02:06:40.549167","2023-11-08 02:12:45.643711",NULL,NULL,1
11,57,"0.9261989",NULL,"map",99,290,194,189,640,480,"-2.8749645","-2.8949533","0.5788479","0.8000002",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:43.474419","2023-11-08 02:08:04.146853","2023-11-08 02:12:45.643711",NULL,NULL,1
12,63,"0.90373886",NULL,"map",13,185,156,86,640,480,"-7.2880373","-2.6966758","1.0268571","0.9766667",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:43.47768","2023-11-08 02:08:19.28227","2023-11-08 02:12:45.643711",NULL,NULL,1
13,46,"0.82000226",NULL,"map",238,318,48,28,640,480,"-3.0743706","-2.8242683","0.6895865","0.8366668",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:43.480616","2023-11-08 02:08:06.929732","2023-11-08 02:12:45.643711",NULL,NULL,1
14,61,"0.8388573",NULL,"map",191,319,299,160,640,480,"-2.9431326","-2.5081594","0.57963943","0.98833334",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:43.483714","2023-11-08 02:08:06.934635","2023-11-08 02:12:45.643711",NULL,NULL,1
15,57,"0.6961495",NULL,"map",347,296,136,183,640,480,"-3.002194","-2.343411","0.6164532","0.8133335",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:46.83063","2023-11-08 02:08:06.937739","2023-11-08 02:12:45.643711",NULL,NULL,1
16,48,"0.87041515",NULL,"map",364,332,30,31,640,480,"-3.0757868","-1.4017422","0.6947824","0.8366668",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:55.342006","2023-11-08 02:08:16.204702","2023-11-08 02:12:45.643711",NULL,NULL,1
17,57,"0.8030813",NULL,"map",1,281,43,55,640,480,"-5.715484","-2.898767","0.4959101","0.9866667",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:06:58.426313","2023-11-08 02:12:44.55322","2023-11-08 02:12:45.643711",NULL,NULL,1
18,57,"0.6824921",NULL,"map",0,411,33,69,640,480,"-3.797385","-2.4529045","0.30037922","0.97333336",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:08:09.855397","2023-11-08 02:12:24.767031","2023-11-08 02:12:45.643711",NULL,NULL,1
19,57,"0.8968729",NULL,"map",390,285,76,50,640,480,"-5.1689157","0.01287751","0.43785053","0.8133335",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:08:16.208993","2023-11-08 02:08:16.208993","2023-11-08 02:12:45.643711",NULL,NULL,1
20,46,"0.86493707",NULL,"map",242,318,50,28,640,480,"-3.4025476","-1.5999057","0.6872058","0.8366668",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:08:16.212186","2023-11-08 02:08:16.212186","2023-11-08 02:12:45.643711",NULL,NULL,1
21,61,"0.77444345",NULL,"map",93,316,397,163,640,480,"-3.1945322","-1.5905637","0.55728334","0.98833334",NULL,NULL,NULL,NULL,NULL,"2023-11-08 02:08:16.215354","2023-11-08 02:08:16.215354","2023-11-08 02:12:45.643711",NULL,NULL,1
